text,author,time,text_clean
😂😂😂😂,@armonosoerodiwiryo3591,2 bulan yang lalu,
Riza chalid kayaknya blm ada di beritakan min,@rudipranoto6134,2 bulan yang lalu,riza chalid kayaknya blm ada di beritakan min
""" korupsi rekening negara"" , uang negaranya aman gak ada yg dipake ..

Uang jamaah jadi uang negara, PIHK nya surplus ..
Negaranya rugi .. 

Lucu lucu org KPK sm Tempo",@EijazAlsheiraz,2 bulan yang lalu (diedit)," korupsi rekening negara  uang negaranya aman gak ada yg dipake 

uang jamaah jadi uang negara pihk nya surplus 
negaranya rugi  

lucu lucu org kpk sm tempo"
"Wah, siapa ya 13 tour and travel Haji yg terlibat dalam kuota haji selain Maktur ? 😂😂",@edraaja6097,2 bulan yang lalu,wah siapa ya  tour and travel haji yg terlibat dalam kuota haji selain maktur  
Gustol,@Voorgs,2 bulan yang lalu,gustol
"kalo pertanyaan tempo siapa penikmat uang korupsi haji, video ini gak menjawab bhw yaqut menikmati uang tsb",@heavenlander,2 bulan yang lalu,kalo pertanyaan tempo siapa penikmat uang korupsi haji video ini gak menjawab bhw yaqut menikmati uang tsb
Agama di jadikan bisnis emang mantap 😂😂,@yosuachristian8328,2 bulan yang lalu,agama di jadikan bisnis emang mantap 
YoNdakTahuKokTanyaSaya,@BekasiRayaManies,2 bulan yang lalu,yondaktahukoktanyasaya
"Terima kasih tempo...
Terus mengabarkan fakta",@bambangharyadi6002,2 bulan yang lalu,"terima kasih tempo
terus mengabarkan fakta"
"Bagi yg ga tau, Fuad Hasan Masyhur itu mertua Dito Ariotedjo, Menpora",@adenuristiqomah984,2 bulan yang lalu,bagi yg ga tau fuad hasan masyhur itu mertua dito ariotedjo menpora
emang kudu bubarin sistem partai sih,@sidiqpratomo6652,2 bulan yang lalu,emang kudu bubarin sistem partai sih
"asal kaloan tau aja,  saya aturan berangkat 2014 jadi 2015..alesan Penyelenggara Haji & Umrah ONH plus ada kemunduran karna sesuatu hal..
mo protesnya susah,  mereka kaya punya sistem buat ngakalin.",@kawaiilovers2579,2 bulan yang lalu (diedit),"asal kaloan tau aja  saya aturan berangkat  jadi alesan penyelenggara haji  umrah onh plus ada kemunduran karna sesuatu hal
mo protesnya susah  mereka kaya punya sistem buat ngakalin"
Korupsi bukan hanya uang atau materi saja... Menyala gunakan wewenang kekuasaan juga korupsi...,@ullapalopo3091,2 bulan yang lalu,korupsi bukan hanya uang atau materi saja menyala gunakan wewenang kekuasaan juga korupsi
"Gelo. Utk naik haji aja di korup, dosa lo pada. Dulu uang utk rakyat miskin juga di korup. NTI di neraka plg byk org Indo krn korupsi😂",@ucid706,2 bulan yang lalu,gelo utk naik haji aja di korup dosa lo pada dulu uang utk rakyat miskin juga di korup nti di neraka plg byk org indo krn korupsi
"Memalukan orang Islam, sudah dipanggil Gus, korupsi lg,......, sebenarnya harus memberikan contoh yang baik, malah korupsi,eeeh pokoknya,semua yg di lingkaran Jokowi,ujung""pasti korupsi,gitu Jokowi masih bisa mengelak",@sitidz2783,2 bulan yang lalu (diedit),memalukan orang islam sudah dipanggil gus korupsi lg sebenarnya harus memberikan contoh yang baik malah korupsieeeh pokoknyasemua yg di lingkaran jokowiujungpasti korupsigitu jokowi masih bisa mengelak
usut tuntas!,@RusselEffandy-f7y,2 bulan yang lalu,usut tuntas
"Tempo rada keliru, MakTour itu sdh menggunakan POS Applications. Walo dimanages ala bisnis keluarga, kalo laporan kuangan mahvsdh  modern atuh. Termasuk pajak2, diskon dll diatur oleh aplikasi wirausaha yg digunakan (POS - Point Os Sales). Bisa ditwlusuri nuga lewat bank penerimanya. Simple tokh heeeheee. IMHO",@setiaudibarakartasasmita1546,2 bulan yang lalu,tempo rada keliru maktour itu sdh menggunakan pos applications walo dimanages ala bisnis keluarga kalo laporan kuangan mahvsdh  modern atuh termasuk pajak diskon dll diatur oleh aplikasi wirausaha yg digunakan pos  point os sales bisa ditwlusuri nuga lewat bank penerimanya simple tokh heeeheee imho
NU,@unimpstuds,2 bulan yang lalu,nu
ngeri betul wkwkwk,@KharaMakrothomiaToda,2 bulan yang lalu,ngeri betul wkwkwk
Bersyukur sebagai nonis... Ngak ada uang negara di tempat ibadah pun..,@yuliersi2480,2 bulan yang lalu,bersyukur sebagai nonis ngak ada uang negara di tempat ibadah pun
"Semoga pembahasan ini menjadi sebab kebaikan negeri ini, bersih dari para rakus serakah lan dzholim.",@santosotoso4287,2 bulan yang lalu,semoga pembahasan ini menjadi sebab kebaikan negeri ini bersih dari para rakus serakah lan dzholim
Krn agama coba klo Tuhan pasti tdk bisa dijadikan bisnis 😢,@mansarsupiori4045,2 bulan yang lalu,krn agama coba klo tuhan pasti tdk bisa dijadikan bisnis 
 @adenuristiqomah984  pemilik al Maktour kak?,@jangmin8016,2 bulan yang lalu, adenuristiqomah  pemilik al maktour kak
"betul kak, di berita2 jg udh disebut. kl ga salah menteri Dito dicopot krn ya mertuanya terseret kasus ini.",@adenuristiqomah984,2 bulan yang lalu,betul kak di berita jg udh disebut kl ga salah menteri dito dicopot krn ya mertuanya terseret kasus ini
😮,@farouqsyahrulhuda9191,2 bulan yang lalu,
"Korupsi Haji terkutuklah mereka , saya 63 thn daftar haji 2018 entah kpn berangkat haji , pasrah aja sama Tuhan",@davidleeroth007,2 bulan yang lalu (diedit),korupsi haji terkutuklah mereka  saya  thn daftar haji  entah kpn berangkat haji  pasrah aja sama tuhan
"Duit utangan dibuat bancakan, anak cucu yg bayar...   “PPATK Sebut 510 Triliun Dana PSN Masuk Kantong ASN & Politisi, Bukti Korupsi Era Jokowi Sangat Tinggi - Riau,12.01.2024“
Belum lagi Blok Medan,  50% bansos diselewengkan dan TK Impor/ WNA China bebas jarah tambang di NKRI.",@mbahmo7199,2 bulan yang lalu,"duit utangan dibuat bancakan anak cucu yg bayar   ppatk sebut  triliun dana psn masuk kantong asn  politisi bukti korupsi era jokowi sangat tinggi  riau
belum lagi blok medan   bansos diselewengkan dan tk impor wna china bebas jarah tambang di nkri"
Biadab !!!!!!!!! KORUPTOR HAJI.,@budisantosa6252,2 bulan yang lalu,biadab  koruptor haji
"Kapan UU perampasan harta koruptor disahkan oleh DPR , ya ? sehingga para calon koruptor itu takut untuk melakukan nya . Sy kok pesimis",@oMLt855,2 bulan yang lalu,kapan uu perampasan harta koruptor disahkan oleh dpr  ya  sehingga para calon koruptor itu takut untuk melakukan nya  sy kok pesimis
Subhanallah. Hidup Jokowi!!!!,@Esperado-v1v,2 bulan yang lalu,subhanallah hidup jokowi
"naik haji tapi makan jatahnya yang punya hak karena pake duit, berkah ga sih hajinya?",@lilisuheli1661,2 bulan yang lalu,naik haji tapi makan jatahnya yang punya hak karena pake duit berkah ga sih hajinya
Rakyat kecil yang melek medsos semakin muak di mana mana tikus berseliweran di Indonesia seperti tidak ada penegak hukum,@annaanna8292,2 bulan yang lalu,rakyat kecil yang melek medsos semakin muak di mana mana tikus berseliweran di indonesia seperti tidak ada penegak hukum
Ngeri ya kerugian negara masih dihitung tapi sdh mentersangka kan orang,@edirusyandi7167,2 bulan yang lalu,ngeri ya kerugian negara masih dihitung tapi sdh mentersangka kan orang
"yang jelas rugi adalah  warga negara, harusnya bisa berangkat jadi tertunda, karena antriannya digeser mereka yang memberi uang ke pejabat kemenag",@sriprimainiagustanti5050,2 bulan yang lalu,yang jelas rugi adalah  warga negara harusnya bisa berangkat jadi tertunda karena antriannya digeser mereka yang memberi uang ke pejabat kemenag
Ibadahpun dikorupsi memang kacau konoha ini,@GunawanPutra-z8l,2 bulan yang lalu,ibadahpun dikorupsi memang kacau konoha ini
"Maktour tidak berani minta sendirian, ngajak  ngajak yanglain....jadi masuk nerakanya ada temannya.Emag gitu cara ""syetan"" bekerja. Karena syetan pada dasarnya ""pengecut"".",@cahayasurga-v1e,2 bulan yang lalu,maktour tidak berani minta sendirian ngajak  ngajak yanglainjadi masuk nerakanya ada temannyaemag gitu cara syetan bekerja karena syetan pada dasarnya pengecut
"Iblis pun istighfar ini mah
Hati2 ente yaqut cs, doa ribuan jamaah haji yg terdzolimi pasti makbul",@ermaastuti2489,2 bulan yang lalu,"iblis pun istighfar ini mah
hati ente yaqut cs doa ribuan jamaah haji yg terdzolimi pasti makbul"
Lah emangnya ngga boleh kasih kuota ke swasta?,@irkiat,2 bulan yang lalu,lah emangnya ngga boleh kasih kuota ke swasta
Jokowi gak nyuruh korupsi...tapi kalau ada menteri yg korupsi ya dibagi dong .... transfer ke Kaesang aja ...gitu kan Jok? Eh Jack?,@NasrunKtb,2 bulan yang lalu,jokowi gak nyuruh korupsitapi kalau ada menteri yg korupsi ya dibagi dong  transfer ke kaesang aja gitu kan jok eh jack
Narasumber? Ngarang aja lho,@mitrawisataandatv4841,2 bulan yang lalu,narasumber ngarang aja lho
pengusaha ya harus untung dimanapun caranya... adakah kerugian negara?,@titribb,2 bulan yang lalu,pengusaha ya harus untung dimanapun caranya adakah kerugian negara
Penikmat utama keluarga jek😂😂,@BramaKumbara-s9b,2 bulan yang lalu,penikmat utama keluarga jek
"Ya kadang heran juga sih ibadah haji seolah seperti ajang wisata religi yang kaya tetap biro hajinya. 
Haji itu bagi yang mampu kalau memang nggak mampu jangan maksa dan jangan fanatik.",@sangnata4438,2 bulan yang lalu,"ya kadang heran juga sih ibadah haji seolah seperti ajang wisata religi yang kaya tetap biro hajinya 
haji itu bagi yang mampu kalau memang nggak mampu jangan maksa dan jangan fanatik"
Korupsi di mana2 trus besarkan partai..,@jeropedasa3553,2 bulan yang lalu,korupsi di mana trus besarkan partai
"DI KONOHA HAJI DIKORUPSI ...TP NGAKUNYA NEGARA BERAGAMA...DIKIT DIKIT HARAM , DIKIT DIKIT KRISTENISASI, DIKIT DIKIT PENISTAAN AGAMA .... TP NYOLONG RAJIN",@reubenopar,2 bulan yang lalu (diedit),di konoha haji dikorupsi tp ngakunya negara beragamadikit dikit haram  dikit dikit kristenisasi dikit dikit penistaan agama  tp nyolong rajin
Biadab dimana sih ? Biar saja sidang digelar dahulu biar tahu yang biadab yang msns .,@RidwanIrianto,2 bulan yang lalu,biadab dimana sih  biar saja sidang digelar dahulu biar tahu yang biadab yang msns 
"Masih ngarepin sama dpr ?, yang ada kita diarep arep tiap ada pilkada",@santosotoso4287,2 bulan yang lalu,masih ngarepin sama dpr  yang ada kita diarep arep tiap ada pilkada
Masalahnya itu ga gratis. Ada harganya. Ada setoran ke menteri pejabat Kemenag,@yogasamsu,2 bulan yang lalu,masalahnya itu ga gratis ada harganya ada setoran ke menteri pejabat kemenag
Sapa tu..?,@armonosoerodiwiryo3591,2 bulan yang lalu,sapa tu
"Yaa Allah ...pantaskah muak2 dusta jadi menteri dan korupsi , bagaimana dgn calon haji nya...turunkan Azab buat mereka yg korup...ya Allah'",@syahronisyahroni7223,2 bulan yang lalu,yaa allah pantaskah muak dusta jadi menteri dan korupsi  bagaimana dgn calon haji nyaturunkan azab buat mereka yg korupya allah
"Periksa jokowi.. ketika pansus haji berlangsung Yaqut ditugaskan ke Prancis acaranya sendiri cuma 4 hari tapi Yaqut bertahan spt  gelandangan selama 24 hari itupun dibidang pertahanan tak terkait tupoksi Menag, stlh masa bhakti DPR habis pansus tak berhasil memanggil Yaqut, mengapa jokowi menugaskan Yaqut keluar negeri diluar tupoksinya dan dlm jangka waktu yang sangat lama..",@mulyantomulyanto7365,2 bulan yang lalu (diedit),periksa jokowi ketika pansus haji berlangsung yaqut ditugaskan ke prancis acaranya sendiri cuma  hari tapi yaqut bertahan spt  gelandangan selama  hari itupun dibidang pertahanan tak terkait tupoksi menag stlh masa bhakti dpr habis pansus tak berhasil memanggil yaqut mengapa jokowi menugaskan yaqut keluar negeri diluar tupoksinya dan dlm jangka waktu yang sangat lama
Yang menikmati keuntungan sepertinya geng solo,@masbimo1407,2 bulan yang lalu,yang menikmati keuntungan sepertinya geng solo
"DEPAG dari dulu SARANG SETAN KORUPTOR.
Bapak awak guru SD di kampung, bisa kuliahkan abang awak, jual sawah sepetak, aset keluarga satu2nya. dibantu ibu terima jahitan baju. awak mau kuliah tunggu abang awak lulus dulu, nganggur lah awak 2 tahun.
Tetangga orang DEPAG Kecamatan, bisa kuliahkan anak 3 orang serentak, tak ada bisnis, tak  ada jual2 aset.

Sungguh bangsa yg sakit.",@samsoe4017,2 bulan yang lalu (diedit),"depag dari dulu sarang setan koruptor
bapak awak guru sd di kampung bisa kuliahkan abang awak jual sawah sepetak aset keluarga satunya dibantu ibu terima jahitan baju awak mau kuliah tunggu abang awak lulus dulu nganggur lah awak  tahun
tetangga orang depag kecamatan bisa kuliahkan anak  orang serentak tak ada bisnis tak  ada jual aset

sungguh bangsa yg sakit"
"Agama laris dijual karena orang lebih sibuk menghitung pahala dan dosa untuk surga‑neraka daripada tulus menjalankan ajarannya. Akhirnya, mudah dimanfaatkan orang yang menakuti dg tafsir2 sempit",@__-wt8qk,2 bulan yang lalu,agama laris dijual karena orang lebih sibuk menghitung pahala dan dosa untuk surganeraka daripada tulus menjalankan ajarannya akhirnya mudah dimanfaatkan orang yang menakuti dg tafsir sempit
Itu kaga mikir yaq orang nabung puluhan tahun kaga jd berangkat karna koutanya di jual buat yg plus plus,@icanvladimir2091,2 bulan yang lalu,itu kaga mikir yaq orang nabung puluhan tahun kaga jd berangkat karna koutanya di jual buat yg plus plus
Yg benar akan terlihat' benar,@pawitwahyuutami4451,2 bulan yang lalu,yg benar akan terlihat benar
Gelonya si Yaqut padahal katnya NKRi harga modar... Hukum seberat2nya... Kpk kelamaan  bertindak.. Lieur.. Lieur... Bet bet bet... Ribet.... Oedut oedut,@YediApriyadi,2 bulan yang lalu,gelonya si yaqut padahal katnya nkri harga modar hukum seberatnya kpk kelamaan  bertindak lieur lieur bet bet bet ribet oedut oedut
"sebelum tayang, harusnya briefingnya matang...biar menyampaikan data gak blepotan...kan jurnalis kawakan....diperbaikilah tempo..",@IndonesiaBerani2045,2 bulan yang lalu,sebelum tayang harusnya briefingnya matangbiar menyampaikan data gak blepotankan jurnalis kawakandiperbaikilah tempo
"Di Indonesia semuanya sudah dikorupsi, mulai dari dana Pengadaan Al-Qur'an, Hewan Kurban, Zakat sampai Haji",@komarchucky3456,2 bulan yang lalu (diedit),di indonesia semuanya sudah dikorupsi mulai dari dana pengadaan alquran hewan kurban zakat sampai haji
Yassalammm yassalammm yassalammm yaqut yaqut yaqut aji gile ente dan rekan ente semuanya kacau....tega bener,@achmadsyarif726,2 bulan yang lalu,yassalammm yassalammm yassalammm yaqut yaqut yaqut aji gile ente dan rekan ente semuanya kacautega bener
"Gara² kelakuan yaqut ini, mak gw gagal berangkat haji padahal udah cek kesehatan, jadinya nenek gw yg 93 tahun berangkat sendiri tanpa yg nemenin",@CekRol-sg8xr,2 bulan yang lalu,gara kelakuan yaqut ini mak gw gagal berangkat haji padahal udah cek kesehatan jadinya nenek gw yg  tahun berangkat sendiri tanpa yg nemenin
Coba tanya jokowi..dito.erik thohir mungkin mereka tau.,@HeruSantoso-d1q,2 bulan yang lalu,coba tanya jokowiditoerik thohir mungkin mereka tau
sudah saatnya kita harus REVOLUSI...REVOLUSI...REVOLUSI.. PEJABAT PEJABAT kita semua bermental prilaku BINATANG..gak ber moral..MERDEKA..MERDEKA..MERDEKA,@bontorpurba7348,2 bulan yang lalu,sudah saatnya kita harus revolusirevolusirevolusi pejabat pejabat kita semua bermental prilaku binatanggak ber moralmerdekamerdekamerdeka
Nama bapak pemimpin rapat ini siapa? Mantap banget suaranya,@IM-rg3cw,2 bulan yang lalu,nama bapak pemimpin rapat ini siapa mantap banget suaranya
iblis pun sungkem sama yakut,@insa43,2 bulan yang lalu,iblis pun sungkem sama yakut
"Newcastle United : yang sabar ya gua, semua ini ujian.",@ceritasijoni5769,2 bulan yang lalu,newcastle united  yang sabar ya gua semua ini ujian
"Ingat mantan menpora. Sebelum jadi menteri dia kebalikan uang korupsi dan di Lantik jadi menteri..dan jangan lupa mertua mantan menpora itu punya travel haji...
Dan lagi ketika Jokowi minta tambahan kuota haji ke arab katemu pangeran arab Jokowi. Erik Tohir. Mantan menpora itu...",@alifawtr5535,2 bulan yang lalu,"ingat mantan menpora sebelum jadi menteri dia kebalikan uang korupsi dan di lantik jadi menteridan jangan lupa mertua mantan menpora itu punya travel haji
dan lagi ketika jokowi minta tambahan kuota haji ke arab katemu pangeran arab jokowi erik tohir mantan menpora itu"
Rakyat sudah tidak bisa berpegang kepada NU. Sudah memasuki jaman kegelapan,@shidurip6452,2 bulan yang lalu,rakyat sudah tidak bisa berpegang kepada nu sudah memasuki jaman kegelapan
Nama gus tetep aja uang no. 1,@satriodwinugroho2564,2 bulan yang lalu,nama gus tetep aja uang no 
"Koq tdk ada sentilan ya tth duit ke geng solo, pdhl tempo ini paling berani lo, apa tdk ada bukti ya? 😮",@mansarsupiori4045,2 bulan yang lalu,koq tdk ada sentilan ya tth duit ke geng solo pdhl tempo ini paling berani lo apa tdk ada bukti ya 
"​ @mansarsupiori4045 padahal dr awal muncul wacana penambahan kuota haji itu berawal jokowi kunjungan ke arab minta, tapi diposisi itu anehnya yang jokowi bawa itu Menpora, Mentri BUMN, Mensesneg. Posisi yaqut waktu itu dikasi tugas ama jokowi jd delegasi di Prancis yang harusnya itu tugasnya Prabowo sebagai Menhan.",@aqilmurtadho7922,2 bulan yang lalu, mansarsupiori padahal dr awal muncul wacana penambahan kuota haji itu berawal jokowi kunjungan ke arab minta tapi diposisi itu anehnya yang jokowi bawa itu menpora mentri bumn mensesneg posisi yaqut waktu itu dikasi tugas ama jokowi jd delegasi di prancis yang harusnya itu tugasnya prabowo sebagai menhan
Padahal wajib banget yg dibawa itu Mentri Agama. Bukan Menpora /Mentri BUMN.,@aqilmurtadho7922,2 bulan yang lalu,padahal wajib banget yg dibawa itu mentri agama bukan menpora mentri bumn
"BESOK PADA HARI KIAMAT ADA SATU PINTU KHUSUS KE NERAKA JAHANAM YANG DIKUSHUSKAN BUAT PARA PEJABAT / MANTAN PEJABAT DARI INDONESIA.

BESOK PADA HARI KIAMAT ADA SATU PINTU SURGA YANG DIKUSUHUSKAN BUAT PARA RAKYAT INDONESIA, ATAS HESABARANNYA DIPIMPIN OLEH PENGUASA YANG DHOLIM.",@aguspurwanto8243,2 bulan yang lalu,"besok pada hari kiamat ada satu pintu khusus ke neraka jahanam yang dikushuskan buat para pejabat  mantan pejabat dari indonesia

besok pada hari kiamat ada satu pintu surga yang dikusuhuskan buat para rakyat indonesia atas hesabarannya dipimpin oleh penguasa yang dholim"
​ @aguspurwanto8243  ada di surat mana?,@sjamsjamsjam,2 bulan yang lalu, aguspurwanto  ada di surat mana
Betul mereka yg berangkat k mbs deal2an tambahan kuota tanpa mengajak menteri agamanya 😂😂,@masbimo1407,2 bulan yang lalu,betul mereka yg berangkat k mbs dealan tambahan kuota tanpa mengajak menteri agamanya 
" @insa43  apakah masih ada cerita kebal hukum di negara ini ??! jadi tersangka bisa berlangsung ber tahun tahun , dan kasusnya hilang begitu saja .mau gimana lagi .",@WuryonoBapake,2 bulan yang lalu, insa  apakah masih ada cerita kebal hukum di negara ini  jadi tersangka bisa berlangsung ber tahun tahun  dan kasusnya hilang begitu saja mau gimana lagi 
 @WuryonoBapake  kita ikuti sj prosesnya....waktu yg akan membuktikan...,@BapakHarmanto-od8bt,2 bulan yang lalu, wuryonobapake  kita ikuti sj prosesnyawaktu yg akan membuktikan
wkwkw terang banget bang fakta singkatan nya..,@muhnurrizalhazim4522,2 bulan yang lalu,wkwkw terang banget bang fakta singkatan nya
itu kan kamu...kami tetep NU...urusan hukum urusan perseorangan mereka yang berkasus,@IndonesiaBerani2045,2 bulan yang lalu,itu kan kamukami tetep nuurusan hukum urusan perseorangan mereka yang berkasus
"​ @IndonesiaBerani2045  oknum tapi pentolannya... 
Di Ormas ber feodalisme tinggi; atasan bicara bawahan wajib ngikutin....",@tomibon8,2 bulan yang lalu," indonesiaberani  oknum tapi pentolannya 
di ormas ber feodalisme tinggi atasan bicara bawahan wajib ngikutin"
"Kenapa bisa dengki gitu, Ormasmu ga berkembang?",@haismadz4141,2 bulan yang lalu,kenapa bisa dengki gitu ormasmu ga berkembang
👍,@abdulmuchib9296,2 bulan yang lalu,
Kali ini tempo tdk valid,@blekokmedia3481,2 bulan yang lalu,kali ini tempo tdk valid
"Masih belum masuk di akal sehat om, dimana negara ruginya...?? 
Klo emang duitnya di ambil, BB duitnya mana?",@surosoragel3881,2 bulan yang lalu,"masih belum masuk di akal sehat om dimana negara ruginya 
klo emang duitnya di ambil bb duitnya mana"
"Sudahkah Yaqut di penjara...
Beranikah kpk mengusut tuntas dlm kasus korupsi kuota haji sampai keatas...",@AzyraHakim,2 bulan yang lalu,"sudahkah yaqut di penjara
beranikah kpk mengusut tuntas dlm kasus korupsi kuota haji sampai keatas"
"Yaqult hanya umpan.. ga dpt apa"" e malah kena kpk",@mrotoon,2 bulan yang lalu,yaqult hanya umpan ga dpt apa e malah kena kpk
"Udah diduga Yakult pasti dapat bagian ,,.",@iramax7060,2 bulan yang lalu,udah diduga yakult pasti dapat bagian 
Dito saja sampai direshuffle buat ngurusin mertuanya yang bos maktour... dah ada pengalaman soalnya lari dari jeratan hukum,@AnT_87-m8q,2 bulan yang lalu,dito saja sampai direshuffle buat ngurusin mertuanya yang bos maktour dah ada pengalaman soalnya lari dari jeratan hukum
"KPK linglung... 8.400 jamaah qouta tambahan mau ditampung dimana? Tenda Arafah & Mina sdh overload waktu itu. Apa mau di jemur di suhu 46°C... 

Bukan cuma tenda yg overload, antri toilet laki2 lebih dr 30 menit, toilet wanita lebih lama lagi. Trus KPK mau nambahin 8.400 orang lagi biar antrean disana makin panjang?",@haismadz4141,2 bulan yang lalu,"kpk linglung  jamaah qouta tambahan mau ditampung dimana tenda arafah  mina sdh overload waktu itu apa mau di jemur di suhu c 

bukan cuma tenda yg overload antri toilet laki lebih dr  menit toilet wanita lebih lama lagi trus kpk mau nambahin  orang lagi biar antrean disana makin panjang"
Perasaan gk yakin yaqut korupsi feeling ku ada yg menggerakkan 😮,@Ajartalpitutonggo,2 bulan yang lalu,perasaan gk yakin yaqut korupsi feeling ku ada yg menggerakkan 
"jual beli kuota H husus, sudah dari dulu,  seperti beli tiket konser di borong oleh calo, calo jual ke penonton dengan yang paling tinggi, tentunya calonya byar lebih ke yang jual... mungkinkah seperti itu ?",@OneStoryWorld-v5n,2 bulan yang lalu,jual beli kuota h husus sudah dari dulu  seperti beli tiket konser di borong oleh calo calo jual ke penonton dengan yang paling tinggi tentunya calonya byar lebih ke yang jual mungkinkah seperti itu 
Yaqut hanya akan jadi tersangka spt Firli Bahuri.  Kasusnya akan hilang dibawa angin & rakyat Indonesia akan senantiasa dibohhongi oleh pemerintah...,@mohamadsabriidris123,2 bulan yang lalu,yaqut hanya akan jadi tersangka spt firli bahuri  kasusnya akan hilang dibawa angin  rakyat indonesia akan senantiasa dibohhongi oleh pemerintah
Yang pasti bukan mulyadi....hidup bang Jek!!,@mulkowi,2 bulan yang lalu,yang pasti bukan mulyadihidup bang jek
Newcastle United dan pria solo gak dibahas ?,@ikrarramadhan6960,2 bulan yang lalu,newcastle united dan pria solo gak dibahas 
jadi tersangka..? mundur dong dari jabatan sebagai mentri....?,@zarwan-burangrang,2 bulan yang lalu,jadi tersangka mundur dong dari jabatan sebagai mentri
"Seorang sahabat dekat Gus Yaqut banyak bicara alasan diskresi tersebut di channel sebelah
Menarik krn justru cerita itu justru memperkuat bukti bahwa Yaqut yg memang punya diskresi. Kemudian diskresi tersebut ""menguntungkan"" pihak lain",@cabaihitam2932,2 bulan yang lalu,"seorang sahabat dekat gus yaqut banyak bicara alasan diskresi tersebut di channel sebelah
menarik krn justru cerita itu justru memperkuat bukti bahwa yaqut yg memang punya diskresi kemudian diskresi tersebut menguntungkan pihak lain"
Kok yang kayak ginu  gak di demo? padahal ini sangat melecehkan agama Islam banget.😅,@zali_view,2 bulan yang lalu (diedit),kok yang kayak ginu  gak di demo padahal ini sangat melecehkan agama islam banget
Pasti lah pemerintah dpr yg menikmati uang hasil jualan titel hj untuk di koropsi jadi jualan pariwisata yg disebut wisata ibadah umroh 😂😂😂😂😂🎉🎉🎉,@imassuryati8471,2 bulan yang lalu,pasti lah pemerintah dpr yg menikmati uang hasil jualan titel hj untuk di koropsi jadi jualan pariwisata yg disebut wisata ibadah umroh 
Sebelumnya apakah pernah tidak valid????,@tomibon8,2 bulan yang lalu,sebelumnya apakah pernah tidak valid
​ @tomibon8 kalau bocor alus banyak validnya,@blekokmedia3481,2 bulan yang lalu, tomibon kalau bocor alus banyak validnya
buktinya ??,@Nagato_Painz,2 bulan yang lalu,buktinya 
"8400 kuota yang akhirnya dijual jadi haji plus.. 
Mereka dulu di tampung di sebelah mana?????",@tomibon8,2 bulan yang lalu (diedit)," kuota yang akhirnya dijual jadi haji plus 
mereka dulu di tampung di sebelah mana"
"​​ @tomibon8 DULUNYA GA ADA. Zona 3&4 untuk 221.000 qouta regular. kemudian datang kuota tambahan 20.000. Kuota tambahan ini belum punya tempat (tenda) di arafah & mina. Kapasitas tenda Mina itu terbatas ibarat stadion. Kalo dijejali 20.000 kuota tambahan udh ga muat.

Sy jamaah regular kloter 12 solo 2024 merasakan sendiri tenda overload. Jamaah muda mengalah diluar. Kalo udh kepanasan masuk ngadem sebentar keluar lagi. Kondisi udh kaya gitu mau dijejali 8.400 lagi? Apa suruh bawa tenda sendiri?",@haismadz4141,2 bulan yang lalu (diedit)," tomibon dulunya ga ada zona  untuk  qouta regular kemudian datang kuota tambahan  kuota tambahan ini belum punya tempat tenda di arafah  mina kapasitas tenda mina itu terbatas ibarat stadion kalo dijejali  kuota tambahan udh ga muat

sy jamaah regular kloter  solo  merasakan sendiri tenda overload jamaah muda mengalah diluar kalo udh kepanasan masuk ngadem sebentar keluar lagi kondisi udh kaya gitu mau dijejali  lagi apa suruh bawa tenda sendiri"
lu orang NU ya??,@Nagato_Painz,2 bulan yang lalu,lu orang nu ya
​ @Nagato_Painz aku islam 😮,@Ajartalpitutonggo,2 bulan yang lalu, nagatopainz aku islam 
Yg demo itu masa bayaran yg mengatasnamakan umat Islam,@indahkurniasih249,2 bulan yang lalu,yg demo itu masa bayaran yg mengatasnamakan umat islam
"kasihan muslim indo, sudah jadi pangsa pasar arab saudi, eh di dalam negeri kena kongkalikong pejabat korup. hanya demi validasi dipanggil 'haji'...",@salesmanpartikelir,3 minggu yang lalu,kasihan muslim indo sudah jadi pangsa pasar arab saudi eh di dalam negeri kena kongkalikong pejabat korup hanya demi validasi dipanggil haji
4 orang yg duduk di sini gak paham duduk masalah kuota tambahan haji...,@derytgp9714,1 bulan yang lalu, orang yg duduk di sini gak paham duduk masalah kuota tambahan haji
Nunggu yang kemarin demo trans....cb sekarang demo sendiri junjungannya yang korup,@imronharits7520,2 bulan yang lalu,nunggu yang kemarin demo transcb sekarang demo sendiri junjungannya yang korup
"Andai kata quota surga bisa dibayar pakai uang, maka pasti tetap dikorupsi oleh penguasa Konoha 😂😂😂",@YensiPagalla,2 bulan yang lalu,andai kata quota surga bisa dibayar pakai uang maka pasti tetap dikorupsi oleh penguasa konoha 
Omongan opo dul......penyesatan dul,@ariefismono3164,2 bulan yang lalu,omongan opo dulpenyesatan dul
Gus Yaqut gak korupsi....tp terkena framing orang yg ngawurrr,@miftahulmunir9363,2 bulan yang lalu,gus yaqut gak korupsitp terkena framing orang yg ngawurrr
"Jgn fokus pembagian kuwota, fokus saja ke Aliran dana",@msmulyadi,2 bulan yang lalu,jgn fokus pembagian kuwota fokus saja ke aliran dana
"Penjelasannya kurang pas , ngelantur kemana mana , kayak rekayasa dan  kayak memprofokasi",@juprikhotib9111,2 bulan yang lalu,penjelasannya kurang pas  ngelantur kemana mana  kayak rekayasa dan  kayak memprofokasi
